SoC,averageEnergyCost,averageSoC,batteryCost,batteryCost_CRITICAL_PEAK,batteryCost_NOT_TOU,batteryCost_OFF_PEAK,batteryCost_ON_PEAK,batteryCost_PARTIAL_PEAK,batteryEnergy,batteryEnergy_CRITICAL_PEAK,batteryEnergy_NOT_TOU,batteryEnergy_OFF_PEAK,batteryEnergy_ON_PEAK,batteryEnergy_PARTIAL_PEAK,batteryPower,batteryPower_CRITICAL_PEAK,batteryPower_NOT_TOU,batteryPower_OFF_PEAK,batteryPower_ON_PEAK,batteryPower_PARTIAL_PEAK,batteryTouCumulativeCost,consumption.energy.fromBattery_kWh,consumption.energy.fromGrid_kWh,consumption.energy.fromSolar_kWh,consumption.power.fromBattery_kW,consumption.power.fromGrid_kW,consumption.power.fromSolar_kW,consumptionCost,consumptionCost_CRITICAL_PEAK,consumptionCost_NOT_TOU,consumptionCost_OFF_PEAK,consumptionCost_ON_PEAK,consumptionCost_PARTIAL_PEAK,consumptionEnergy,consumptionEnergy_CRITICAL_PEAK,consumptionEnergy_NOT_TOU,consumptionEnergy_OFF_PEAK,consumptionEnergy_ON_PEAK,consumptionEnergy_PARTIAL_PEAK,consumptionPower,consumptionPower_CRITICAL_PEAK,consumptionPower_NOT_TOU,consumptionPower_OFF_PEAK,consumptionPower_ON_PEAK,consumptionPower_PARTIAL_PEAK,consumptionTouCumulativeCost,cumulativeDailyCost,cumulativeDailySavings,currentBatteryEnergy,currentBatteryPower,currentConsumptionEnergy,currentConsumptionPower,currentGenerationEnergy,currentGenerationPower,currentNetEnergy,currentNetPower,efficiencyInOut,end,generationCost,generationCost_CRITICAL_PEAK,generationCost_NOT_TOU,generationCost_OFF_PEAK,generationCost_ON_PEAK,generationCost_PARTIAL_PEAK,generationEnergy,generationEnergy_CRITICAL_PEAK,generationEnergy_NOT_TOU,generationEnergy_OFF_PEAK,generationEnergy_ON_PEAK,generationEnergy_PARTIAL_PEAK,generationPower,generationPower_CRITICAL_PEAK,generationPower_NOT_TOU,generationPower_OFF_PEAK,generationPower_ON_PEAK,generationPower_PARTIAL_PEAK,generationTouCumulativeCost,kpi.averageSolarPerformance_kWh_Per_kWp,kpi.performanceRatio,kpi.solarPerformanceSoFar_kWh_Per_kWp,kpi.solarPerformance_kWh_Per_kWp,netCost,netCost_CRITICAL_PEAK,netCost_NOT_TOU,netCost_OFF_PEAK,netCost_ON_PEAK,netCost_PARTIAL_PEAK,netEnergy,netEnergy_CRITICAL_PEAK,netEnergy_NOT_TOU,netEnergy_OFF_PEAK,netEnergy_ON_PEAK,netEnergy_PARTIAL_PEAK,netPower,netPower_CRITICAL_PEAK,netPower_NOT_TOU,netPower_OFF_PEAK,netPower_ON_PEAK,netPower_PARTIAL_PEAK,numDataPoints,savings,savings_CRITICAL_PEAK,savings_NOT_TOU,savings_OFF_PEAK,savings_ON_PEAK,savings_PARTIAL_PEAK,solar.energy.exportedToBattery_kWh,solar.energy.exportedToGrid_kWh,solar.energy.exportedToHome_kWh,solar.power.exportedToBattery_kW,solar.power.exportedToGrid_kW,solar.power.exportedToHome_kW,start,timestamp,totalSavings,touPeriod
100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25474367500.0,0.0,0.058,0.0,0.0,0.0,1399.0,0.0,0.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.696,0.0,0.0,0.063,0.758,0.9191,1591416299,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8370621400.0,0.0,0.063,0.0,0.0,0.0,1443.0,0.0,0.758,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591416000,1591416300,0.0,NOT_TOU
100.0,0.083,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.0,1.447,0.0,0.01,0.0,0.01,0.0,0.0,0.0,25474801700.0,0.0,0.121,0.0,0.0,0.0,1134.0,0.0,1.447,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.121,1.447,0.0,0.0,0.126,1.509,0.9593,1591416599,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-8371074000.0,0.0,0.126,0.0,0.0,0.0,1177.0,0.0,1.509,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591416300,1591416600,0.0,NOT_TOU
100.0,0.091,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.0,1.318,0.0,0.01,0.0,0.01,0.0,0.0,0.0,25475199000.0,0.0,0.11,0.0,0.0,0.0,1481.0,0.0,1.318,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.11,1.318,0.0,0.0,0.115,1.386,0.9509,1591416899,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-8371489800.0,0.0,0.115,0.0,0.0,0.0,1524.0,0.0,1.386,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591416600,1591416900,0.0,NOT_TOU
100.0,0.123,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233136.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.976,0.0,0.01,0.0,0.01,0.0,0.0,0.0,25475489800.0,0.0,0.081,0.0,0.0,0.0,564.0,0.0,0.976,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.081,0.976,0.0,0.0,0.086,1.038,0.9409,1591417199,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-8371801100.0,0.0,0.086,0.0,0.0,0.0,608.0,0.0,1.038,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591416900,1591417200,0.0,NOT_TOU
100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25475723300.0,0.0,0.065,0.0,0.0,0.0,1521.0,0.0,0.778,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.065,0.778,0.0,0.0,0.07,0.84,0.927,1591417499,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-8372053000.0,0.0,0.07,0.0,0.0,0.0,1565.0,0.0,0.84,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591417200,1591417500,0.0,NOT_TOU
100.0,0.119,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233232.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.0,1.004,0.0,0.01,0.0,0.01,0.0,0.0,0.0,25476024300.0,0.0,0.084,0.0,0.0,0.0,1144.0,0.0,1.004,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.084,1.004,0.0,0.0,0.089,1.065,0.9425,1591417799,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-8372372500.0,0.0,0.089,0.0,0.0,0.0,1188.0,0.0,1.065,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591417500,1591417800,0.0,NOT_TOU
100.0,0.079,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.0,0.0,1.529,0.0,0.01,0.0,0.01,0.0,0.0,0.0,25476483100.0,0.0,0.127,0.0,0.0,0.0,1929.0,0.0,1.529,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.127,1.529,0.0,0.0,0.133,1.597,0.9574,1591418099,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-8372851700.0,0.0,0.133,0.0,0.0,0.0,1974.0,0.0,1.597,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591417800,1591418100,0.0,NOT_TOU
100.0,0.109,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.0,0.0,1.102,0.0,0.01,0.0,0.01,0.0,0.0,0.0,25476814800.0,0.0,0.092,0.0,0.0,0.0,592.0,0.0,1.102,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.092,1.102,0.0,0.0,0.097,1.163,0.9475,1591418399,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-8373201900.0,0.0,0.097,0.0,0.0,0.0,636.0,0.0,1.163,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591418100,1591418401,0.0,NOT_TOU
100.0,0.118,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.0,0.0,1.021,0.0,0.01,0.0,0.01,0.0,0.0,0.0,25477122000.0,0.0,0.085,0.0,0.0,0.0,1357.0,0.0,1.021,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.085,1.021,0.0,0.0,0.09,1.082,0.9432,1591418699,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-8373525500.0,0.0,0.09,0.0,0.0,0.0,1402.0,0.0,1.082,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591418400,1591418700,0.0,NOT_TOU
100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-13233408.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25477347300.0,0.0,0.063,0.0,0.0,0.0,549.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.758,0.0,0.0,0.068,0.819,0.9252,1591418999,0.0,0.0,0.0,0.0,0.0,0.0,21370662900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8373771300.0,0.0,0.068,0.0,0.0,0.0,594.0,0.0,0.819,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591418700,1591419000,0.0,NOT_TOU
