device_id,host_rcpn,device_type,beacon_rcpn,St,P,E,I,V,Rb,T,O0,O1,O2,O3,O4,O5,O6,O7,O8,O9,OA,OB,OC,OD,OE,OF,OG,timestamp_utc
183769221,183781523,device,183756454,8192,0,0,0,0,0,0,16079,0,32826,2,6024,32437,25719,30444,9284,32446,7984,1,9152,5,11,0,17908,2020-10-07 14:58
183756435,183781523,device,183756454,8208,750,3909,190,1668145,8275,323,750,371,2001,0,4333,871,46,66,0,17920,199,1000,5446,4,0,0,3456,2020-10-07 14:58
183781523,183781523,device,183756454,2080,4409,3908,-1127,8616455,8199,545,2449,4225,3297,6,3,42517,77,15607,114,64271,49231,14096,0,4096,26195,36864,0,2020-10-07 14:58
183756454,183781523,device,183756454,8192,0,0,0,0,1,402,0,7313,3,19795,21057,11604,19786,77,0,1,0,0,0,0,0,0,0,2020-10-07 14:58
183756430,183781523,device,183756454,8208,1035,3909,263,1779978,8275,359,1035,651,1580,5,0,11786,10313,2879,2879,1,2879,2882,7117,23044,1213,2876,8785,2020-10-07 14:58
183756414,183781523,device,183756454,768,0,3910,0,1036415,8199,169,0,3004,13325,0,0,817,0,1811,3827,3874,169,194,0,0,13,58945,19151,2020-10-07 14:58
183756431,183781523,device,183756454,8208,1069,3909,273,2028621,8275,323,1069,677,1578,0,8,135,330,33472,6283,0,0,0,0,0,0,0,9735,2020-10-07 14:58
183756434,183781523,device,183756454,8208,771,3912,197,1750180,8275,306,771,381,2020,0,4275,79,50,82,0,17920,193,1000,4558,4,2902,2472,3456,2020-10-07 14:58
183756433,183781523,device,183756454,8208,1131,3909,288,2517531,0,367,1131,745,1514,5,0,10554,9235,2763,2759,0,2763,2757,7174,22113,1254,2765,9693,2020-10-07 14:58
183769221,183781523,device,183756454,8192,0,0,0,0,0,0,57002,0,32826,2,6024,32437,25719,30444,9284,32446,36880,0,9152,5,11,0,17908,2020-10-07 14:57
183756435,183781523,device,183756454,8208,697,3906,179,1668130,8275,325,697,349,2002,0,4327,901,46,66,0,17920,197,1000,5446,4,0,0,3456,2020-10-07 14:57
183781523,183781523,device,183756454,2080,4142,3906,-1060,8616374,8199,543,2441,3968,3038,6,3,42517,77,15542,114,64271,53071,1552,0,4096,26195,36864,0,2020-10-07 14:57
183756454,183781523,device,183756454,8192,0,0,0,0,1,402,0,7373,3,19795,21057,11604,19786,77,0,1,0,0,0,0,0,0,0,2020-10-07 14:57
183756430,183781523,device,183756454,8208,946,3906,242,1779959,8275,359,946,600,1575,5,0,11786,10313,2871,2867,0,2867,2884,7163,23034,1217,2866,8135,2020-10-07 14:57
183756414,183781523,device,183756454,768,0,3905,0,1036415,8199,169,0,3003,13325,0,0,817,0,1811,3827,3874,169,194,0,0,13,58945,19151,2020-10-07 14:57
183756431,183781523,device,183756454,8208,978,3905,247,2028601,8275,323,978,619,1562,0,4532,909,137,107,2962,17920,427,1000,9401,6,0,0,3456,2020-10-07 14:57
183756434,183781523,device,183756454,8208,736,3908,184,1750166,8275,309,736,366,1968,0,25,1972,2004,395,245,0,0,0,0,0,0,0,6137,2020-10-07 14:57
183756433,183781523,device,183756454,8208,1062,3905,266,2517510,0,367,1062,714,1456,5,0,10554,9235,2651,2655,2,2655,2653,7080,21104,1275,2649,8865,2020-10-07 14:57
183769221,183781523,device,183756454,8192,0,0,0,0,0,0,53775,0,32826,2,6024,32437,25719,30444,9284,32446,2640,0,9152,5,11,0,17908,2020-10-07 14:56
183756435,183781523,device,183756454,8208,613,3901,156,1668118,8275,321,613,309,1975,0,26,2002,2042,326,181,0,0,0,0,0,0,0,6137,2020-10-07 14:56
183781523,183781523,device,183756454,2080,3593,3899,-920,8616306,8199,544,2449,3438,2522,6,3,42517,77,15489,114,64271,42575,14608,0,4096,26195,36864,0,2020-10-07 14:56
183756454,183781523,device,183756454,8192,0,0,0,0,1,402,0,7433,3,19795,21057,11604,19786,77,0,1,0,0,0,0,0,0,0,2020-10-07 14:56
183756430,183781523,device,183756454,8208,834,3900,212,1779942,8275,359,834,527,1566,5,0,11786,10313,2859,2859,1,2859,2860,7069,22846,1213,2855,7066,2020-10-07 14:56
183756414,183781523,device,183756454,768,-1,3900,0,1036415,8199,169,0,3003,13325,0,0,817,0,1811,3827,3874,169,193,0,0,13,58945,19151,2020-10-07 14:56
183756431,183781523,device,183756454,8208,874,3900,221,2028585,8275,322,874,551,1563,0,16,1946,2008,636,181,0,0,0,0,0,0,0,6137,2020-10-07 14:56
183756434,183781523,device,183756454,8208,659,3903,166,1750154,8275,306,659,328,1976,0,0,312,0,1808,6283,0,0,0,0,0,0,0,9735,2020-10-07 14:56
183756433,183781523,device,183756454,8208,957,3901,241,2517493,8275,366,957,639,1474,5,0,10554,9235,2683,2683,1,2683,2675,7090,21499,1262,2678,8045,2020-10-07 14:56
183769221,183781523,device,183756454,8192,0,0,0,0,0,0,15657,0,32826,2,6024,32437,25719,30444,9284,32446,45920,0,9152,5,11,0,17908,2020-10-07 14:55
183756435,183781523,device,183756454,8208,852,3917,217,1668106,8275,321,852,420,2020,0,26,2001,2043,456,181,0,0,0,0,0,0,0,6137,2020-10-07 14:55
183781523,183781523,device,183756454,2080,5125,3916,-1307,8616234,8199,548,2451,4917,3963,6,3,42517,77,15433,114,64271,57423,11024,0,4096,26195,36864,0,2020-10-07 14:55
183756454,183781523,device,183756454,8192,0,0,0,0,1,397,0,7493,3,19795,21057,11604,19786,77,0,1,0,0,0,0,0,0,0,2020-10-07 14:55
183756430,183781523,device,183756454,8208,1203,3916,306,1779925,8275,367,1203,772,1553,5,0,11786,10313,2831,2827,0,2827,2821,7155,22660,1234,2830,10286,2020-10-07 14:55
183756414,183781523,device,183756454,768,0,3917,0,1036415,8199,169,0,3004,13325,0,0,817,0,1811,3827,3874,169,193,0,0,13,58945,19150,2020-10-07 14:55
183756431,183781523,device,183756454,8208,1222,3916,311,2028567,8275,328,1222,781,1558,0,16,1940,2008,706,181,0,0,0,0,0,0,0,6137,2020-10-07 14:55
183756434,183781523,device,183756454,8208,879,3918,223,1750141,8275,304,879,433,2015,0,0,312,0,1808,6283,0,0,0,0,0,0,0,9735,2020-10-07 14:55
183756433,183781523,device,183756454,8208,1289,3916,326,2517474,8275,371,1289,851,1505,5,0,13499,10125,2739,2743,2,2743,2746,7215,22011,1266,2740,10979,2020-10-07 14:55
183769221,183781523,device,183756454,8192,0,0,0,0,0,0,56925,0,32826,2,6024,32437,25719,30444,9284,32446,11760,0,9152,5,11,0,17908,2020-10-07 14:54
183756435,183781523,device,183756454,8208,908,3920,232,1668091,8275,321,908,441,2067,0,0,259,0,1918,6283,0,0,0,0,0,0,0,9735,2020-10-07 14:54
183781523,183781523,device,183756454,2080,5483,3921,-1397,8616146,8199,547,2453,5263,4299,6,3,42517,77,15361,114,64271,49743,2320,0,4096,26195,36864,0,2020-10-07 14:54
183756454,183781523,device,183756454,8192,0,0,0,0,1,402,0,7553,3,19795,21057,11604,19786,77,0,1,0,0,0,0,0,0,0,2020-10-07 14:54
183756430,183781523,device,183756454,8208,1285,3919,328,1779903,8275,368,1285,828,1557,5,0,11786,10313,2835,2835,1,2835,2819,7161,22615,1235,2832,11100,2020-10-07 14:54
183756414,183781523,device,183756454,768,0,3920,0,1036415,8199,169,0,3004,13325,0,0,817,0,1811,3827,3874,169,194,0,0,13,58945,19150,2020-10-07 14:54
183756431,183781523,device,183756454,8208,1276,3919,326,2028545,8275,327,1276,817,1564,0,8,135,330,33472,6283,0,0,0,0,0,0,0,9735,2020-10-07 14:54
183756434,183781523,device,183756454,8208,904,3920,230,1750125,8275,305,904,441,2051,0,4259,208,50,82,0,17920,187,1000,4558,4,2902,2472,3456,2020-10-07 14:54
183756433,183781523,device,183756454,8208,1332,3918,339,2517451,8275,371,1332,875,1523,5,0,13499,10125,2775,2775,1,2775,2757,7074,22145,1242,2773,11448,2020-10-07 14:54
183769221,183781523,device,183756454,8192,0,0,0,0,0,0,62093,0,32826,2,6024,32437,25719,30444,9284,32446,57440,0,9152,5,11,0,17908,2020-10-07 14:53
183756435,183781523,device,183756454,8208,947,3922,241,1668076,8275,327,947,464,2042,0,4355,872,46,66,0,17920,189,1000,5446,4,0,0,3456,2020-10-07 14:53
183781523,183781523,device,183756454,2080,5726,3923,-1458,8616063,8199,549,2458,5497,4542,6,3,42517,77,15293,114,64271,35407,35344,0,4096,26195,36864,0,2020-10-07 14:53
183756454,183781523,device,183756454,8192,0,0,0,0,1,407,0,7613,3,19795,21057,11604,19786,77,0,1,0,0,0,0,0,0,0,2020-10-07 14:53
183756430,183781523,device,183756454,8208,1359,3922,346,1779883,8275,373,1359,878,1546,5,0,10915,8187,2818,2822,2,2822,2813,7094,22541,1232,2818,11671,2020-10-07 14:53
183756414,183781523,device,183756454,768,0,3922,0,1036415,8199,169,0,3004,13325,0,0,817,0,1811,3827,3874,169,194,0,0,13,58945,19149,2020-10-07 14:53
183756431,183781523,device,183756454,8208,1351,3923,344,2028525,8275,333,1351,868,1555,0,8,135,330,33472,6283,0,0,0,0,0,0,0,9735,2020-10-07 14:53
183756434,183781523,device,183756454,8208,958,3924,244,1750111,8275,315,958,468,2049,0,4261,229,50,82,0,17920,182,1000,4558,4,2902,2472,3456,2020-10-07 14:53
183756433,183781523,device,183756454,8208,1411,3920,359,2517430,8275,375,1411,922,1530,5,0,13499,10125,2783,2783,1,2783,2783,7088,22280,1237,2781,12105,2020-10-07 14:53
183769221,183781523,device,183756454,8192,0,0,0,0,0,0,43504,0,32826,2,6024,32437,25719,30444,9284,32446,19680,0,9152,5,11,0,17908,2020-10-07 14:52
183756435,183781523,device,183756454,8208,1019,3928,260,1668061,8275,329,1019,496,2060,0,4361,765,46,66,0,17920,188,1000,5446,4,0,0,3456,2020-10-07 14:52
183781523,183781523,device,183756454,2080,6167,3929,-1568,8615972,8199,550,2457,5923,4962,6,3,42517,77,15218,114,64271,16719,14352,0,4096,26195,36864,0,2020-10-07 14:52
183756454,183781523,device,183756454,8192,0,0,0,0,1,407,0,7673,3,19795,21057,11604,19786,77,0,1,0,0,0,0,0,0,0,2020-10-07 14:52
183756430,183781523,device,183756454,8208,1461,3927,373,1779860,8275,375,1461,938,1566,5,0,10915,8187,2850,2850,1,2850,2841,7072,22771,1221,2847,12622,2020-10-07 14:52
183756414,183781523,device,183756454,768,0,3927,0,1036415,8199,169,0,3004,13325,0,0,817,0,1811,3827,3874,169,194,0,0,13,58945,19149,2020-10-07 14:52
183756431,183781523,device,183756454,8208,1406,3927,364,2028503,8275,334,1406,904,1585,0,4578,680,137,107,2962,17920,403,1000,9401,6,0,0,3456,2020-10-07 14:52
183756434,183781523,device,183756454,8208,957,3925,249,1750095,8275,314,957,473,2073,0,25,1969,2003,443,245,0,0,0,0,0,0,0,6137,2020-10-07 14:52
183756433,183781523,device,183756454,8208,1425,3923,371,2517407,8275,377,1425,929,1570,5,0,13499,10125,2859,2859,1,2859,2872,7086,22881,1219,2858,12617,2020-10-07 14:52
183769221,183781523,device,183756454,8192,0,0,0,0,0,0,13919,0,32826,2,6024,32437,25719,30444,9284,32446,65440,0,9152,5,11,0,17908,2020-10-07 14:51
183756435,183781523,device,183756454,8208,1073,3930,270,1668044,8275,331,1073,524,2026,0,26,2001,2042,557,181,0,0,0,0,0,0,0,6137,2020-10-07 14:51
183781523,183781523,device,183756454,2080,6459,3932,-1642,8615874,8199,548,2463,6204,5242,6,3,42517,77,15136,114,64271,21071,18960,0,4096,26195,36864,0,2020-10-07 14:51
183756454,183781523,device,183756454,8192,0,0,0,0,1,407,0,7733,3,19795,21057,11604,19786,77,0,1,0,0,0,0,0,0,0,2020-10-07 14:51
183756430,183781523,device,183756454,8208,1563,3929,392,1779836,8275,374,1563,1004,1536,5,0,10915,8187,2802,2806,2,2806,2803,7073,22377,1235,2803,13223,2020-10-07 14:51
183756414,183781523,device,183756454,768,0,3935,0,1036415,8199,169,0,3004,13325,0,0,817,0,1811,3827,3874,169,194,0,0,13,58945,19149,2020-10-07 14:51
183756431,183781523,device,183756454,8208,1587,3933,398,2028479,8275,332,1587,1000,1567,0,16,1946,2007,779,181,0,0,0,0,0,0,0,6137,2020-10-07 14:51
183756434,183781523,device,183756454,8208,1142,3935,291,1750078,8275,316,1142,546,2100,0,0,312,0,1808,6283,0,0,0,0,0,0,0,9735,2020-10-07 14:51
183756433,183781523,device,183756454,8208,1685,3931,426,2517381,8275,375,1685,1080,1558,5,0,13499,10125,2831,2835,2,2835,2858,7250,22811,1239,2834,14387,2020-10-07 14:51
183769221,183781523,device,183756454,8192,0,0,0,0,0,0,39106,0,32826,2,6024,32437,25719,30444,9284,32446,30320,0,9152,5,11,0,17908,2020-10-07 14:50
183756435,183781523,device,183756454,8208,950,3923,246,1668026,8275,325,950,456,2116,0,26,2000,2042,472,181,0,0,0,0,0,0,0,6137,2020-10-07 14:50
183781523,183781523,device,183756454,2080,5728,3923,-1459,8615772,8199,538,2467,5499,4551,6,3,42517,77,15050,114,64271,9295,12048,0,4096,26195,36864,0,2020-10-07 14:50
183756454,183781523,device,183756454,8192,0,0,0,0,1,407,0,7793,3,19795,21057,11604,19786,77,0,1,0,0,0,0,0,0,0,2020-10-07 14:50
183756430,183781523,device,183756454,8208,1342,3921,345,1779811,8275,363,1342,858,1581,5,0,10915,8187,2890,2886,0,2886,2890,7224,23223,1226,2889,11750,2020-10-07 14:50
183756414,183781523,device,183756454,768,0,3920,0,1036415,8199,169,0,3004,13325,0,0,817,0,1811,3826,3874,169,193,0,0,13,58945,19148,2020-10-07 14:50
183756431,183781523,device,183756454,8208,1249,3920,319,2028454,8275,324,1249,777,1612,0,16,1952,2008,643,181,0,0,0,0,0,0,0,6137,2020-10-07 14:50
183756434,183781523,device,183756454,8208,907,3920,231,1750060,8275,313,907,435,2082,0,0,312,0,1808,6283,0,0,0,0,0,0,0,9735,2020-10-07 14:50
183756433,183781523,device,183756454,8208,1329,3918,337,2517356,8275,366,1329,844,1569,5,0,10877,8158,2848,2844,0,2844,2841,7088,22697,1224,2842,11400,2020-10-07 14:50
